ID,FNODEID,ENODEID,KORNAME,ROADLENGTH
1400050400,1400016900,1400016800,금샘길,126
1400050500,1400016800,1400005000,금샘길,213
1400050600,1400005000,1400016800,금샘길,213
1400050700,1400016800,1400017600,범어사길,239
1400050800,1400017600,1400016800,범어사길,252
1400050900,1400017000,1400017100,-,61
1400051000,1400017100,1400017000,-,61
1400051100,1400017200,1400017400,인도교,149
1400051200,1400017400,1400017200,인도교,149
1400051300,1400017200,1400017500,체육공원로,169
1400051400,1400017500,1400017200,체육공원로,169
1400051500,1400017300,1400017400,신천길,132
1400051600,1400017400,1400017300,신천길,138
1400051700,1400005100,1400017800,고분로,530
1400051800,1400017800,1400005100,고분로,530
1400051900,1400017400,1400017700,신천길,220
1400052000,1400017700,1400017400,신천길,220
1400052100,1400017500,1400017700,체육공원로,122
1400052200,1400017700,1400017500,체육공원로,122
1400052300,1400017500,1400018200,고분로,649
1400052400,1400018200,1400017500,고분로,649
1400052500,1400017600,1400017900,청룡1길,500
1400052600,1400017900,1400017600,청룡1길,502
1400052700,1400017700,1400018300,체육공원로,1086
1400052800,1400018300,1400017700,체육공원로,1101
1400052900,1400017800,1400018000,고분로,991
1400053000,1400018000,1400017800,고분로,1002
1400053100,1400018000,1400018100,고분로,28
1400053200,1400018100,1400018000,고분로,28
1400053300,1400018100,1400018200,고분로,51
1400053400,1400018200,1400018100,고분로,51
1400053500,1400018200,1400018800,고분로,999
1400053600,1400018800,1400018200,고분로,1001
1400053700,1400018300,1400018400,-,201
1400053800,1400018400,1400018300,-,209
1400053900,1400018300,1400019300,체육공원로,1042
1400054000,1400019300,1400018300,체육공원로,1040
1400054100,1400018400,1400018500,-,98
1400054200,1400018500,1400018400,-,93
1400054300,1400018400,1400018600,-,393
1400054400,1400018600,1400018400,-,407
1400054500,1400018500,1400018600,-,371
1400054600,1400018600,1400018500,-,371
1400054700,1400018500,1400018900,-,521
1400054800,1400018900,1400018500,-,521
1400054900,1400018600,1400018700,-,220
1400055000,1400018700,1400018600,-,220
1400055100,1400018700,1400018800,세월교,114
1400055200,1400018800,1400018700,세월교,114
1400055300,1400018700,1400019000,-,319
1400055400,1400019000,1400018700,-,329
1400055500,1400018800,1400005500,체육공원로399번길,213
1400055600,1400005500,1400018800,체육공원로399번길,217
1400055700,1400005400,1400019200,중앙대로2327번길,545
1400055800,1400019200,1400005400,중앙대로2327번길,560
1400055900,1400018900,1400019000,-,385
1400056000,1400019000,1400018900,-,385
1400056100,1400018900,1400019100,-,412
1400056200,1400019100,1400018900,-,394
1400056300,1400019000,1400019100,-,69
1400056400,1400019100,1400019000,-,69
1400056500,1400019100,1400019400,-,438
1400056600,1400019400,1400019100,-,435
1400056700,1400019300,1400019400,두구로,455
1400056800,1400019400,1400019300,두구로,455
1400057100,1400019400,1400019500,두구로,137
1400057200,1400019500,1400019400,두구로,137
1400057300,1400019500,1400005600,두구로,214
1400057400,1400005600,1400019500,두구로,214
1400057500,1400005900,1400019600,영천로,413
1400057600,1400019600,1400005900,영천로,397
1400057700,1400019600,1400019700,금정로,391
1400057800,1400019700,1400019600,금정로,390
1400057900,1400019900,1400015400,금샘길,315
1400058000,1400015400,1400019900,금샘길,305
1400058100,1400015100,1400019900,금샘길,685
1400058200,1400019900,1400015100,금샘길,716
1400058300,1400019900,1400015700,금샘길,644
1400058400,1400015700,1400019900,금샘길,648
1400058500,1400020500,1400020100,정관산업도로,242
1400058600,1400020300,1400020500,정관산업도로,178
1400058700,1400020500,1400020400,번영로,681
1400058800,1400020200,1400020500,정관사업로,628
1400058900,1400020600,1400020500,정관산업도로,1187
1400059000,1400020500,1400020600,정관산업도로,1188
1400059100,1400020700,1400020600,석대로,182
1400059200,1400020800,1400021200,정관산업도로,479
1400059300,1400021000,1400020900,개좌로,132
1400059400,1400020900,1400020800,개좌로,200
1400059500,1400021100,1400021200,개좌로,343
1400059600,1400021000,1400020600,정관산업도로,249
1400059700,1400020600,1400021000,정관산업도로,256
1400059800,1400020800,1400021000,정관산업도로,341
1400059900,1400021000,1400020800,정관산업도로,342
1400060000,1400021200,1400020800,정관산업도로,480
1400060100,1400021300,1400021200,정관산업도로,200
1400060200,1400021200,1400021300,정관산업도로,201
1400060300,1400020400,1400020300,번영로,198
1400060400,1400001201,1400020400,번영로,263
1400060500,1400020200,1400020100,번영로,102
1400060600,1400020300,1400020200,번영로,217
1400060700,1400020200,1400020300,번영로,213
1400060800,1400020400,1400001201,번영로,261
1400060900,1400020300,1400020400,번영로,197
1400061000,1400020100,1400020200,번영로,94
1450050700,1450018700,1400018300,철마로,2052
1450050800,1400018300,1450018700,철마로,2054
1350034300,1350011100,1400009300,강변1로,715
1350034400,1400009300,1350011100,강변1로,711
1350037300,1350012000,1400009600,금강로,259
1350037400,1400009600,1350012000,금강로,259
1380005701,1400001200,1380029700,수영강변대로,423
1380005801,1380029700,1400001201,수영강변대로,822
1380087900,1380029500,1380029700,수영강변대로,675
1380088000,1380029700,1380029500,수영강변대로,678
1400000100,1400000100,1400000200,반송로,321
1400000200,1400000200,1400000100,반송로,321
1400000300,1400000300,1400000200,반송로,191
1400000400,1400000200,1400000300,반송로,191
1400000500,1400000400,1400000300,반송로,436
1400000600,1400000300,1400000400,반송로,437
1400000700,1400000600,1400000400,반송로,268
1400000800,1400000400,1400000600,반송로,267
1400000900,1400000600,1400000700,반송로,203
1400001000,1400000700,1400000600,반송로,203
1400001300,1400000800,1400000500,번영로,357
1400001400,1400000500,1400000800,번영로,358
1400001700,1400000700,1400000500,번영로,140
1400001800,1400000500,1400000700,번영로,345
1400001900,1400001200,1400000800,번영로,755
1400002000,1400000800,1400001200,번영로,749
1400002100,1400000900,1400001000,중앙대로,161
1400002200,1400001000,1400000900,중앙대로,161
1400002300,1400001000,1400001100,중앙대로,120
1400002400,1400001100,1400001000,중앙대로,120
1400002500,1400001100,1400001300,중앙대로,63
1400002600,1400001300,1400001100,중앙대로,63
1400002701,1400001300,1400001500,중앙대로,370
1400002801,1400001500,1400001300,중앙대로,371
1400003100,1400001500,1400001600,중앙대로,117
